Nome,Categoria,Endereço,Telefone,Email,Website,Origem
Hospital Lusíadas Lisboa,Medicina,"R. Abílio Mendes 12, 1500-458 Lisboa, Portugal",21 770 4040,N/A (Google não fornece e-mail diretamente),https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-lisboa,Google Places API
United Medical Clinic Lisbon,Medicina,"Av. Defensores de Chaves 73B, 1000-114 Lisboa, Portugal",300 502 822,N/A (Google não fornece e-mail diretamente),http://umedclinic.pt/,Google Places API
ASMECL,Medicina,"Largo São Cristóvão 1, 1100-513 Lisboa, Portugal",21 881 3300,N/A (Google não fornece e-mail diretamente),https://www.clinicasaocristovao.pt/,Google Places API
Hospital da Luz,Medicina,"Av. Lusíada 100, 1500-650 Lisboa, Portugal",21 710 4400,N/A (Google não fornece e-mail diretamente),https://www.hospitaldaluz.pt/lisboa/pt,Google Places API
First Health - Clínica Médica,Medicina,"Av. Marquês de Tomar 104, 1050-053 Lisboa, Portugal",21 798 6781,N/A (Google não fornece e-mail diretamente),http://www.firsthealth.pt/,Google Places API
Cligenus CMCM,Medicina,"Av. da Liberdade 244, 1250-149 Lisboa, Portugal",21 317 3900,N/A (Google não fornece e-mail diretamente),http://www.cligenus.com/,Google Places API
"LivClinic - Botox em Lisboa, Medicina Estética e Anti-Aging",Medicina,"R. Nova dos Mercadores 27A, 1990-239 Lisboa, Portugal",919 105 030,N/A (Google não fornece e-mail diretamente),https://livclinic.pt/,Google Places API
Clínica Oficina da Saúde,Medicina,"Avenida 5 de Outubro 89 9º, 1050-050 Lisboa, Portugal",918 112 406,N/A (Google não fornece e-mail diretamente),http://www.oficinadasaude.pt/,Google Places API
Clínica Médica Gerações,Medicina,"Av. Fontes Pereira de Melo 3 10º DTO, 1050-115 Lisboa, Portugal",21 358 3910,N/A (Google não fornece e-mail diretamente),http://www.clinicageracoes.pt/,Google Places API
MEA,Medicina,"Av. da Liberdade nº 108 6º andar, 1250-146 Lisboa, Portugal",937 252 525,N/A (Google não fornece e-mail diretamente),https://clinicamea.com/,Google Places API
CDL - Dental Clinic Lisbon,Medicina,"R. Ferreira da Silva 9B, 1900-228 Lisboa, Portugal",21 354 0059,N/A (Google não fornece e-mail diretamente),https://dentistalisboa.com/clinica-dentaria-lisboa?utm_source=Google&utm_medium=Organic_Local&utm_campaign=GMB,Google Places API
Clínica Dentária do Marquês,Medicina,"R. Braamcamp 14, 1250-048 Lisboa, Portugal",21 197 7188,N/A (Google não fornece e-mail diretamente),http://www.clinicadomarques.pt/,Google Places API
Clinica Mint - Clinica Dentária Lisboa,Medicina,"Av. Marquês de Tomar 5, 1050-152 Lisboa, Portugal",21 155 2308,N/A (Google não fornece e-mail diretamente),https://mint.pt/,Google Places API
DentalCare Lisboa,Medicina,"R. Julieta Ferrão 12, 1600-131 Lisboa, Portugal",913 913 800,N/A (Google não fornece e-mail diretamente),http://www.dentalcarelisboa.com/,Google Places API
The Lisbon Smile Clinic,Medicina,"Rua Marquês de Fronteira 4B, 1070-295 Lisboa, Portugal",21 359 0020,N/A (Google não fornece e-mail diretamente),http://lisbonsmile.com/,Google Places API
Clínica Dentária Vita Centro Lisboa,Medicina,"Av. Frei Miguel Contreiras 54C, 1700-213 Lisboa, Portugal",960 317 236,N/A (Google não fornece e-mail diretamente),https://www.vitacentro.com/,Google Places API
Pedro Garrido de Figueiredo - Medicina Dentária,Medicina,"Rua Dom João V 4 2ºD, 1250-090 Lisboa, Portugal",21 790 8095,N/A (Google não fornece e-mail diretamente),https://www.pedrogf.com/,Google Places API
AM SMILING - Clinica Dentária,Medicina,"R. Xavier de Araújo 10 escritório 4, 1600-226 Lisboa, Portugal",21 583 9319,N/A (Google não fornece e-mail diretamente),http://amsmiling.pt/,Google Places API
AS CLÍNICAS - Clínicas de Medicina Dentária e Estética - Lisboa,Medicina,"R. Dr. Gama Barros 27A, 1700-143 Lisboa, Portugal",916 892 580,N/A (Google não fornece e-mail diretamente),https://www.asclinicas.pt/,Google Places API
Clínica Dentária Maia,Medicina,"Avenida 5 de Outubro 156 2º, 1050-062 Lisboa, Portugal",21 797 4965,N/A (Google não fornece e-mail diretamente),http://clinicadentariamaia.com/,Google Places API
